Integrate with single(omp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.652693	         1
         2	  0.666667	   0.83681	  0.779978
         3	  0.666667	  0.951632	  0.685867
         4	  0.666667	   0.88513	  0.737398
         5	  0.666667	  0.764096	  0.854204
         6	  0.666667	  0.653613	  0.998593
         7	  0.666667	  0.714896	  0.912991
         8	  0.666667	  0.588438	    1.1092
         9	  0.666667	  0.643974	   1.01354
        10	  0.666667	  0.863999	  0.755433
        11	  0.666667	   0.69029	  0.945535
        12	  0.666667	   0.59631	   1.09455
        13	  0.666667	   0.72984	  0.894296
        14	  0.666667	  0.661993	  0.985952
        15	  0.666667	  0.605954	   1.07713
        16	  0.666667	  0.618116	   1.05594
        17	  0.666667	  0.581316	   1.12279
        18	  0.666667	  0.639569	   1.02052
        19	  0.666667	  0.527853	   1.23651
        20	  0.666667	  0.526593	   1.23946
        21	  0.666667	  0.563559	   1.15816
        22	  0.666667	  0.556057	   1.17379
        23	  0.666667	  0.528498	     1.235
        24	  0.666667	  0.482353	   1.35314
        25	  0.666667	  0.494317	   1.32039
        26	  0.666667	  0.479703	   1.36062
        27	  0.666667	  0.449814	   1.45103
        28	  0.666667	  0.528808	   1.23427
        29	  0.666667	  0.433674	   1.50503
        30	  0.666667	  0.481003	   1.35694
        31	  0.666667	  0.452215	   1.44333
        32	  0.666667	  0.469666	    1.3897
        33	  0.666667	  0.454332	    1.4366
        34	  0.666667	  0.495053	   1.31843
        35	  0.666667	  0.483898	   1.34882
        36	  0.666667	  0.499475	   1.30676
        37	  0.666667	  0.480936	   1.35713
        38	  0.666667	  0.476028	   1.37112
        39	  0.666667	  0.482893	   1.35163
        40	  0.666667	  0.434459	   1.50231
        41	  0.666667	  0.445294	   1.46576
        42	  0.666667	  0.462724	   1.41054
        43	  0.666667	  0.404091	   1.61521
        44	  0.666667	  0.479245	   1.36192
        45	  0.666667	  0.470577	   1.38701
        46	  0.666667	  0.486923	   1.34045
        47	  0.666667	  0.484196	   1.34799
        48	  0.666667	  0.441507	   1.47833
Integrate with critical sections(omp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.475368	         1.0
         2	  0.666667	  0.240229	   1.97881
         3	  0.666667	  0.162993	   2.91648
         4	  0.666667	  0.122715	   3.87376
         5	  0.666667	  0.101316	   4.69191
         6	  0.666667	 0.0843264	   5.63724
         7	  0.666667	 0.0742675	   6.40075
         8	  0.666667	  0.064975	   7.31617
         9	  0.666667	 0.0597833	   7.95151
        10	  0.666667	 0.0538622	   8.82563
        11	  0.666667	 0.0489213	   9.71699
        12	  0.666667	 0.0448444	   10.6004
        13	  0.666667	 0.0414027	   11.4816
        14	  0.666667	 0.0384459	   12.3646
        15	  0.666667	 0.0359037	   13.2401
        16	  0.666667	 0.0336631	   14.1213
        17	  0.666667	 0.0316672	   15.0114
        18	  0.666667	 0.0299097	   15.8935
        19	  0.666667	 0.0283383	   16.7747
        20	  0.666667	 0.0269396	   17.6457
        21	  0.666667	 0.0256625	   18.5239
        22	  0.666667	 0.0244918	   19.4093
        23	  0.666667	 0.0234199	   20.2976
        24	  0.666667	 0.0370825	   12.8192
        25	  0.666667	 0.0356679	   13.3276
        26	  0.666667	 0.0384174	   12.3738
        27	  0.666667	 0.0348311	   13.6478
        28	  0.666667	 0.0340762	   13.9501
        29	  0.666667	 0.0335808	    14.156
        30	  0.666667	 0.0321269	   14.7966
        31	  0.666667	 0.0316549	   15.0172
        32	  0.666667	 0.0305885	   15.5407
        33	  0.666667	 0.0298084	   15.9475
        34	  0.666667	 0.0289943	   16.3952
        35	  0.666667	 0.0281747	   16.8721
        36	  0.666667	 0.0274296	   17.3305
        37	  0.666667	 0.0266846	   17.8143
        38	  0.666667	 0.0259715	   18.3034
        39	  0.666667	 0.0253185	   18.7755
        40	  0.666667	 0.0246664	   19.2719
        41	  0.666667	 0.0241504	   19.6836
        42	  0.666667	 0.0235196	   20.2116
        43	  0.666667	 0.0229628	   20.7017
        44	  0.666667	 0.0224478	   21.1766
        45	  0.666667	 0.0219225	    21.684
        46	  0.666667	 0.0214622	   22.1491
        47	  0.666667	 0.0210058	   22.6303
        48	  0.666667	  0.022288	   21.3284
Integrate with mutex(cpp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.528255	         1.0
         2	  0.666667	  0.279815	   1.88788
         3	  0.666667	  0.196527	   2.68796
         4	  0.666667	   0.14306	   3.69253
         5	  0.666667	   0.12418	   4.25394
         6	  0.666667	  0.104854	     5.038
         7	  0.666667	 0.0900935	   5.86341
         8	  0.666667	 0.0797123	   6.62702
         9	  0.666667	 0.0684674	   7.71542
        10	  0.666667	 0.0681238	   7.75434
        11	  0.666667	 0.0564148	   9.36376
        12	  0.666667	 0.0541848	   9.74915
        13	  0.666667	 0.0856784	   6.16556
        14	  0.666667	 0.0475211	   11.1162
        15	  0.666667	 0.0420316	   12.5681
        16	  0.666667	 0.0704139	   7.50215
        17	  0.666667	 0.0406342	   13.0003
        18	  0.666667	 0.0596355	   8.85806
        19	  0.666667	 0.0588523	   8.97595
        20	  0.666667	 0.0364086	   14.5091
        21	  0.666667	 0.0299386	   17.6446
        22	  0.666667	 0.0498889	   10.5886
        23	  0.666667	  0.050383	   10.4848
        24	  0.666667	 0.0480679	   10.9898
        25	  0.666667	 0.0461388	   11.4493
        26	  0.666667	 0.0459815	   11.4884
        27	  0.666667	 0.0441683	   11.9601
        28	  0.666667	 0.0442094	   11.9489
        29	  0.666667	 0.0521006	   10.1391
        30	  0.666667	 0.0386754	   13.6587
        31	  0.666667	 0.0380789	   13.8726
        32	  0.666667	 0.0353105	   14.9603
        33	  0.666667	 0.0337985	   15.6295
        34	  0.666667	 0.0358748	    14.725
        35	  0.666667	 0.0359313	   14.7018
        36	  0.666667	 0.0313809	   16.8337
        37	  0.666667	 0.0383426	   13.7772
        38	  0.666667	 0.0362941	   14.5548
        39	  0.666667	 0.0294262	   17.9519
        40	  0.666667	 0.0303555	   17.4023
        41	  0.666667	  0.033926	   15.5708
        42	  0.666667	 0.0295427	   17.8811
        43	  0.666667	 0.0372381	   14.1859
        44	  0.666667	 0.0262763	   20.1039
        45	  0.666667	  0.032153	   16.4294
        46	  0.666667	 0.0362903	   14.5564
        47	  0.666667	 0.0263757	   20.0281
        48	  0.666667	 0.0347153	   15.2168
Integrate reduction (omp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.425807	         1.0
         2	  0.666667	  0.225066	   1.89193
         3	  0.666667	  0.146734	    2.9019
         4	  0.666667	  0.110055	   3.86905
         5	  0.666667	 0.0897469	   4.74454
         6	  0.666667	 0.0756362	   5.62967
         7	  0.666667	 0.0662671	   6.42562
         8	  0.666667	 0.0587629	   7.24619
         9	  0.666667	 0.0534695	   7.96355
        10	  0.666667	 0.0484454	   8.78943
        11	  0.666667	 0.0438151	   9.71827
        12	  0.666667	 0.0400913	   10.6209
        13	  0.666667	 0.0370647	   11.4882
        14	  0.666667	  0.034434	   12.3659
        15	  0.666667	 0.0321581	   13.2411
        16	  0.666667	 0.0302532	   14.0748
        17	  0.666667	 0.0284705	   14.9561
        18	  0.666667	 0.0268562	   15.8551
        19	  0.666667	 0.0254101	   16.7574
        20	  0.666667	 0.0241981	   17.5967
        21	  0.666667	 0.0230336	   18.4863
        22	  0.666667	 0.0219745	   19.3774
        23	  0.666667	 0.0210348	   20.2429
        24	  0.666667	 0.0330162	   12.8969
        25	  0.666667	 0.0317858	   13.3961
        26	  0.666667	 0.0325934	   13.0642
        27	  0.666667	 0.0329716	   12.9144
        28	  0.666667	 0.0304087	   14.0028
        29	  0.666667	 0.0296774	   14.3479
        30	  0.666667	 0.0288315	   14.7688
        31	  0.666667	  0.028365	   15.0117
        32	  0.666667	 0.0272762	   15.6109
        33	  0.666667	 0.0267506	   15.9176
        34	  0.666667	 0.0259168	   16.4298
        35	  0.666667	 0.0251999	   16.8972
        36	  0.666667	 0.0261812	   16.2638
        37	  0.666667	  0.023836	   17.8641
        38	  0.666667	 0.0232052	   18.3496
        39	  0.666667	  0.022605	   18.8369
        40	  0.666667	 0.0220257	   19.3323
        41	  0.666667	 0.0214971	   19.8076
        42	  0.666667	 0.0209827	   20.2932
        43	  0.666667	 0.0205029	   20.7681
        44	  0.666667	 0.0200488	   21.2385
        45	  0.666667	 0.0195973	   21.7278
        46	  0.666667	 0.0191746	   22.2068
        47	  0.666667	 0.0187815	   22.6717
        48	  0.666667	 0.0200898	   21.1952
Integrate aligned array with partial sums(omp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.615949	         1.0
         2	  0.666663	   0.31477	   1.95682
         3	  0.666574	  0.212958	   2.89235
         4	  0.666543	  0.161836	   3.80601
         5	  0.666489	  0.131801	   4.67334
         6	  0.666414	  0.110739	   5.56214
         7	  0.666325	 0.0972455	   6.33396
         8	  0.666296	 0.0859447	    7.1668
         9	  0.666285	 0.0783551	   7.86099
        10	  0.665791	 0.0705772	    8.7273
        11	  0.666278	  0.064128	   9.60498
        12	  0.666038	  0.058779	   10.4791
        13	  0.666241	 0.0542868	   11.3462
        14	    0.6661	 0.0504233	   12.2156
        15	  0.666059	 0.0470426	   13.0934
        16	  0.665857	 0.0442765	   13.9114
        17	  0.666037	 0.0416448	   14.7905
        18	  0.665819	 0.0392982	   15.6737
        19	  0.665946	 0.0372438	   16.5383
        20	  0.665875	 0.0354225	   17.3887
        21	  0.666128	 0.0337035	   18.2755
        22	  0.665855	 0.0321689	   19.1473
        23	  0.665869	 0.0308121	   19.9905
        24	  0.665851	 0.0493676	   12.4768
        25	  0.665098	 0.0436246	   14.1193
        26	  0.665257	 0.0476113	    12.937
        27	  0.665458	 0.0465296	   13.2378
        28	  0.665514	 0.0455991	   13.5079
        29	  0.665686	 0.0424569	   14.5076
        30	  0.665563	 0.0456257	      13.5
        31	  0.665699	 0.0437533	   14.0778
        32	  0.665339	 0.0716549	   8.59604
        33	   0.66625	 0.0490874	    12.548
        34	  0.666023	  0.042221	   14.5887
        35	  0.665754	 0.0421259	   14.6216
        36	  0.665501	 0.0394229	   15.6241
        37	  0.666323	 0.0367219	   16.7734
        38	   0.66548	 0.0364307	   16.9074
        39	  0.665958	 0.0354307	   17.3846
        40	  0.666116	 0.0350804	   17.5582
        41	  0.664869	 0.0354648	   17.3679
        42	  0.665297	 0.0329541	   18.6911
        43	  0.666142	 0.0383729	   16.0517
        44	  0.665918	 0.0460065	   13.3883
        45	  0.665949	  0.033269	   18.5142
        46	  0.665909	  0.066207	   9.30338
        47	  0.665561	 0.0329617	   18.6868
        48	  0.665798	 0.0547211	   11.2561
Integrate with partial sums(cpp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.830605	         1.0
         2	  0.666667	  0.406873	   2.04143
         3	  0.666667	  0.284131	   2.92332
         4	  0.666667	  0.216591	    3.8349
         5	  0.666667	   0.19249	   4.31506
         6	  0.666667	  0.158234	   5.24921
         7	  0.666667	  0.138535	   5.99564
         8	  0.666667	  0.117971	   7.04078
         9	  0.666667	   0.10666	   7.78741
        10	  0.666667	 0.0967124	    8.5884
        11	  0.666667	 0.0859055	   9.66882
        12	  0.666667	 0.0820561	   10.1224
        13	  0.666667	 0.0756755	   10.9759
        14	  0.666667	 0.0676112	    12.285
        15	  0.666667	 0.0661458	   12.5572
        16	  0.666667	  0.100524	   8.26272
        17	  0.666667	 0.0591458	   14.0433
        18	  0.666667	 0.0544991	   15.2407
        19	  0.666667	 0.0506496	    16.399
        20	  0.666667	 0.0485374	   17.1127
        21	  0.666667	 0.0470099	   17.6687
        22	  0.666667	 0.0440035	   18.8759
        23	  0.666667	 0.0435068	   19.0914
        24	  0.666667	 0.0687388	   12.0835
        25	  0.666667	   0.07002	   11.8624
        26	  0.666667	 0.0699175	   11.8798
        27	  0.666667	 0.0669375	   12.4087
        28	  0.666667	 0.0620771	   13.3802
        29	  0.666667	 0.0593311	   13.9995
        30	  0.666667	 0.0618557	   13.4281
        31	  0.666667	 0.0572966	   14.4966
        32	  0.666667	 0.0547593	   15.1683
        33	  0.666667	 0.0521645	   15.9228
        34	  0.666667	 0.0504908	   16.4506
        35	  0.666667	 0.0498514	   16.6616
        36	  0.666667	 0.0477264	   17.4035
        37	  0.666667	 0.0464739	   17.8725
        38	  0.666667	 0.0522722	     15.89
        39	  0.666667	 0.0505251	   16.4395
        40	  0.666667	 0.0568144	   14.6196
        41	  0.666667	 0.0497033	   16.7113
        42	  0.666667	 0.0453807	    18.303
        43	  0.666667	 0.0472054	   17.5955
        44	  0.666667	   0.05459	   15.2153
        45	  0.666667	 0.0417803	   19.8803
        46	  0.666667	 0.0538956	   15.4114
        47	  0.666667	 0.0450989	   18.4174
        48	  0.666667	 0.0382806	   21.6978
Integrate with atomic operations(cpp)
   Threads	    Result	      Timems	 Acceleration
         1	  0.666667	  0.541955	         1.0
         2	  0.666667	  0.279014	    1.9424
         3	  0.666667	  0.189645	   2.85773
         4	  0.666667	  0.151035	   3.58826
         5	  0.666667	  0.122941	   4.40826
         6	  0.666667	  0.110674	   4.89687
         7	  0.666667	 0.0912435	   5.93965
         8	  0.666667	 0.0821599	   6.59635
         9	  0.666667	  0.079177	   6.84486
        10	  0.666667	 0.0662298	   8.18295
        11	  0.666667	 0.0651661	   8.31652
        12	  0.666667	 0.0550657	   9.84196
        13	  0.666667	 0.0512497	   10.5748
        14	  0.666667	  0.079888	   6.78393
        15	  0.666667	 0.0473721	   11.4404
        16	  0.666667	  0.074173	   7.30663
        17	  0.666667	 0.0415875	   13.0317
        18	  0.666667	 0.0663592	     8.167
        19	  0.666667	  0.063741	   8.50245
        20	  0.666667	 0.0624705	   8.67538
        21	  0.666667	 0.0617272	   8.77984
        22	  0.666667	 0.0577884	   9.37826
        23	  0.666667	 0.0558074	   9.71117
        24	  0.666667	 0.0525517	   10.3128
        25	  0.666667	 0.0519749	   10.4273
        26	  0.666667	  0.050812	   10.6659
        27	  0.666667	 0.0487712	   11.1122
        28	  0.666667	 0.0517441	   10.4738
        29	  0.666667	 0.0427065	   12.6902
        30	  0.666667	 0.0441876	   12.2649
        31	  0.666667	 0.0426699	   12.7011
        32	  0.666667	 0.0383326	   14.1382
        33	  0.666667	 0.0390312	   13.8852
        34	  0.666667	 0.0426316	   12.7125
        35	  0.666667	 0.0380344	   14.2491
        36	  0.666667	 0.0370352	   14.6335
        37	  0.666667	 0.0329541	   16.4458
        38	  0.666667	 0.0461346	   11.7473
        39	  0.666667	 0.0332456	   16.3016
        40	  0.666667	   0.03169	   17.1018
        41	  0.666667	 0.0330334	   16.4063
        42	  0.666667	 0.0298747	    18.141
        43	  0.666667	  0.040921	   13.2439
        44	  0.666667	 0.0290511	   18.6552
        45	  0.666667	 0.0343369	   15.7835
        46	  0.666667	 0.0331004	   16.3731
        47	  0.652482	 0.0280529	   19.3191
        48	  0.666667	 0.0333987	   16.2268
